ID,Name,Price,Brand,Model,Year,Kilometers,Gearbox,Fuel,Status,CC,Seating Capacity
12650689,2016 Ford Transit Custom 330L (lwb) VN MY16.00,38990,Ford,Transit Custom,2016,32612,Manual,Diesel, Used,2198,2
12652381,2021 Toyota Hilux Rugged X (4X4) GUN126R,85000,Toyota,Hilux,2021,12000,Automatic,Diesel, New In Stock,2753,5
12653754,2017 Isuzu D-MAX SX HI-Ride (4X2) TF MY17,24880,Isuzu,D-MAX,2017,113016,Automatic,Diesel, Used,2999,2
12656584,2012 Honda Civic VTI-L Series 2,14999,Honda,Civic,2012,71530,Automatic,Unleaded Petrol, Used,1798,5
12657267,2013 Kia Grand Carnival SLI VQ MY14,15990,Kia,Grand Carnival,2013,200739,Automatic,Unleaded Petrol, Used,3470,8
12658279,2017 Nissan Navara ST-X (4X4) (sunroof) D23 Series II,38990,Nissan,Navara,2017,114202,Manual,Diesel, Used,2298,5
12660816,2016 Ford Everest Trend UA,45981,Ford,Everest,2016,79867,Automatic,Diesel, Used,3198,7
12662362,2017 Toyota Aurion AT-X GSV50R MY16,19999,Toyota,Aurion,2017,168910,Automatic,Unleaded Petrol, Used,3456,5
12662608,2015 Ford Falcon G6E Turbo FG X,44880,Ford,Falcon,2015,73669,Automatic,Unleaded Petrol, Used,3984,5
12664047,2016 Toyota Hilux Workmate GUN122R,37975,Toyota,Hilux,2016,47355,Manual,Diesel, Used,2393,2
12667166,2017 Subaru Forester 2.5I-L MY17,27990,Subaru,Forester,2017,110778,Automatic,Unleaded Petrol, Used,2498,5
12668458,2019 Kia Carnival S YP PE MY20,41990,Kia,Carnival,2019,42779,Automatic,Unleaded Petrol, Used,3342,8
12669846,2022 Nissan Navara SL (4X2) D23 MY21.5,41888,Nissan,Navara,2022,2000,Manual,Diesel, Demo,2298,5
12670312,2018 Toyota Hilux SR5 (4X4) GUN126R MY17,59990,Toyota,Hilux,2018,52479,Automatic,Diesel, Used,2753,5
12674429,2013 Ssangyong Stavic SPR 2.7 XDI A100 08 Upgrade,10990,Ssangyong,Stavic,2013,263542,Automatic,Diesel, Used,2696,7
12675012,2016 Audi S7 Sportback 4.0 Tfsi 4G MY17,83888,Audi,S7,2016,42983,Automatic,Premium Unleaded Petrol, Used,3993,4
12675520,2006 Nissan Navara ST-X (4X4) D40,14999,Nissan,Navara,2006,323317,Manual,Diesel, Used,2488,5
12676280,2016 Isuzu MU-X LS-U (4X4) UC MY15.5,38990,Isuzu,MU-X,2016,111296,Manual,Diesel, Used,2999,7
12677391,2022 Nissan Navara SL Warrior (4X4) D23 MY21.5,64490,Nissan,Navara,2022,1452,Automatic,Diesel, Demo,2298,5
12677779,2017 Toyota Corolla Hybrid ZWE186R MY16,31990,Toyota,Corolla,2017,35359,Automatic,Premium Unleaded/Electric, Used,1798,5
12678997,2007 Holden Commodore SS-V VE,26980,Holden,Commodore,2007,178515,Automatic,Premium Unleaded Petrol, Used,5967,5
12679111,2019 Volkswagen Tiguan 132 TSI R-Line Edition 5NA MY19,45981,Volkswagen,Tiguan,2019,61363,Automatic,Premium Unleaded Petrol, Used,1984,5
12680408,2014 BMW 220D Sport Line F22,27990,BMW,220D,2014,77744,Automatic,Diesel, Used,1995,4
12680749,2017 Toyota Kluger GXL (4X2) GSU50R MY17,36480,Toyota,Kluger,2017,136010,Automatic,Unleaded Petrol, Used,3456,7
12682299,2008 BMW X3 3.0SI E83 MY07,12990,BMW,X3,2008,92000,Automatic,Premium Unleaded Petrol, Used,2979,5
12682458,2022 Nissan Navara SL Warrior (4X4) D23 MY21.5,64500,Nissan,Navara,2022,3382,Automatic,Diesel, Demo,2298,5
12682526,2005 Holden Rodeo LX (4X4) RA MY05.5 Upgrade,15980,Holden,Rodeo,2005,196891,Manual,Diesel, Used,2999,5
12682677,2005 BMW 320I Executive E90,10980,BMW,320I,2005,159832,Automatic,Unleaded Petrol, Used,1995,5
12682931,2019 Volvo XC40 T5 R-Design (awd) 536 MY19,52990,Volvo,XC40,2019,42146,Automatic,Premium Unleaded Petrol, Used,1969,5
12683052,2013 Nissan Navara ST-X (4X4) D40 MY12,18990,Nissan,Navara,2013,198171,Automatic,Diesel, Used,2488,2
12683112,2022 Mazda CX-9 Azami (awd) LE CX9M,76999,Mazda,CX-9,2022,2001,Automatic,Unleaded Petrol, Demo,2488,7
12684146,2012 Hyundai I45 Premium YF MY11,14999,Hyundai,I45,2012,117702,Automatic,Unleaded Petrol, Used,2359,5
12684297,2013 Ford Falcon XR6 FG MK2,29980,Ford,Falcon,2013,84124,Automatic,Unleaded Petrol, Used,3984,2
12684647,2020 Toyota Hilux SR HI-Rider GUN136R Facelift,47990,Toyota,Hilux,2020,28501,Automatic,Diesel, Used,2753,5
12684845,2017 Mercedes-Benz Sprinter 319CDI MWB 906 MY14,41490,Mercedes-Benz,Sprinter,2017,192424,Automatic,Diesel, Used,2987,2
12685045,2012 Lexus RX350 Luxury GGL15R MY12,24980,Lexus,RX350,2012,140364,Automatic,Premium Unleaded Petrol, Used,3456,5
12687172,2011 Mercedes-Benz Viano 3.0 CDI 639 MY11,28950,Mercedes-Benz,Viano,2011,151072,Automatic,Diesel, Used,2987,7
12687277,2014 Holden Calais V VF,21990,Holden,Calais,2014,161048,Automatic,Unleaded Petrol, Used,3565,5
12687308,2012 Jeep Grand Cherokee Overland (4X4) WK,31990,Jeep,Grand Cherokee,2012,150996,Automatic,Premium Unleaded Petrol, Used,5654,5
12687514,2013 Toyota Hilux Workmate TGN16R MY12,20990,Toyota,Hilux,2013,207000,Automatic,Unleaded Petrol, Used,2694,5
12687598,2012 Land Rover Discovery 4 3.0 TDV6 MY13,48900,Land Rover,Discovery 4,2012,178423,Automatic,Diesel, Used,2993,5
12687640,2012 Mitsubishi Lancer ES CJ MY12,10000,Mitsubishi,Lancer,2012,252000,Manual,Unleaded Petrol, Used,1998,5
12687649,2012 Jeep Compass Sport (4X2) MK MY12,13995,Jeep,Compass,2012,126976,Automatic,Premium Unleaded Petrol, Used,1998,5
12687680,2010 Subaru Forester X (satnav) MY10,21990,Subaru,Forester,2010,85936,Automatic,Unleaded Petrol, Used,2457,5
12687761,2014 Mazda CX-5 Maxx (4X2) MY13 Upgrade,20990,Mazda,CX-5,2014,83130,Manual,Unleaded Petrol, Used,1997,5
12687826,2015 Mitsubishi Triton GLS (4X4) MQ MY16,38990,Mitsubishi,Triton,2015,76086,Manual,Diesel, Used,2440,5
12687909,2017 Volkswagen Amarok TDI400 Core Plus (4X4) 2H MY17,35995,Volkswagen,Amarok,2017,92217,Manual,Diesel, Used,1968,5
12687957,2015 Mitsubishi Triton Exceed (4X4) MQ MY16,29880,Mitsubishi,Triton,2015,265691,Automatic,Diesel, Used,2440,5
12687959,2013 Jeep Compass Limited (4X4) MK MY12,14880,Jeep,Compass,2013,118441,Automatic,Premium Unleaded Petrol, Used,2359,5
12687963,2021 Hyundai I30 N Premium With Sunroof CN7.V1 MY22,55990,Hyundai,I30,2021,9236,Manual,Premium Unleaded Petrol, Used,1998,5
12688077,2018 Toyota Hilux SR (4X4) GUN126R MY17,35990,Toyota,Hilux,2018,289991,Manual,Diesel, Used,2753,5
12688104,2022 Audi Q2 35 Tfsi 3Y MY22,60114,Audi,Q2,2022,1254,Automatic,Premium Unleaded Petrol, Demo,1498,5
12688166,2016 Mercedes-Benz GLA45 4Matic X156 MY16,61800,Mercedes-Benz,GLA45,2016,33147,Automatic,Premium Unleaded Petrol, Used,1991,5
12688237,2011 Toyota Rukus Build 3 AZE151R,16996,Toyota,Rukus,2011,115857,Automatic,Unleaded Petrol, Used,2362,5
12688245,2021 MG HS Core SAS23 MY21,27990,MG,HS,2021,18280,Automatic,Unleaded Petrol, Used,1490,5
12688261,2019 Mitsubishi Triton GLX Plus (4X4) MR MY19,48990,Mitsubishi,Triton,2019,45280,Automatic,Diesel, Used,2440,4
12688268,2013 Jeep Wrangler Renegade Sport (4X4) JK MY13,28990,Jeep,Wrangler,2013,124836,Automatic,Unleaded Petrol, Used,3604,4
12688276,2019 Ford Ranger Raptor 2.0 (4X4) PX Mkiii MY19,75400,Ford,Ranger,2019,56170,Automatic,Diesel, Used,1996,5
12688308,2016 Hyundai Tucson Active X (fwd) TL,25981,Hyundai,Tucson,2016,83572,Automatic,Unleaded Petrol, Used,1999,5
12688317,2009 Ford Falcon G6 FG,7444,Ford,Falcon,2009,221130,Automatic,Unleaded Petrol, Used,3984,5
12688339,2017 Land Rover Discovery Sport TD4 150 SE 5 Seat LC MY17,31990,Land Rover,Discovery Sport,2017,129763,Automatic,Diesel, Used,1999,5
12688363,2017 Toyota Corolla Ascent ZRE172R,22990,Toyota,Corolla,2017,64900,Automatic,Unleaded Petrol, Used,1798,5
12688417,2016 Mitsubishi Outlander LS (4X2) ZK MY16,19500,Mitsubishi,Outlander,2016,180000,Manual,Unleaded Petrol, Used,1998,5
12688437,2019 Volkswagen Amarok V6 TDI 550 Sportline 2H MY19,34913,Volkswagen,Amarok,2019,202699,Automatic,Diesel, Used,2967,5
